id_caso,fecha_solicitud,semestre,facultad,programa,motivo,tipo_atencion,tiempo_respuesta_horas,satisfaccion_estudiante,region
CASO00222,21/06/2024,2024-1,Artes y Humanidades,Comunicación,Orientación de matrícula,Mesa de ayuda,32.9,4,Rionegro
CASO00223,17/05/2024,2024-1,Ingeniería,Ingeniería Mecánica,Acceso a plataforma,Académica,23.5,4,Itagüí
CASO00224,15/04/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Mesa de ayuda,7.4,3,Medellín
CASO00225,05/09/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Acceso a plataforma,Psicosocial,19.6,5,Apartadó
CASO00226,03/10/2024,2024-2,Ciencias Económicas,Economía,Soporte técnico,Mesa de ayuda,11.1,2,Rionegro
CASO00227,04/03/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Acceso a plataforma,Mesa de ayuda,31.9,5,Medellín
CASO00228,28/02/2024,2024-1,Artes y Humanidades,Comunicación,Orientación de matrícula,Tutoría,23.7,3,Apartadó
CASO00229,07/11/2024,2024-2,Artes y Humanidades,Comunicación,Soporte técnico,Académica,25.9,3,Apartadó
CASO00230,19/07/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Problemas personales,Psicosocial,13.9,5,Apartadó
CASO00231,21/08/2024,2024-2,Ingeniería,Ingeniería Electrónica,Acceso a plataforma,Tutoría,9.9,4,Itagüí
CASO00232,14/02/2024,2024-1,Artes y Humanidades,Comunicación,Orientación de matrícula,Tutoría,37.1,5,Rionegro
CASO00233,23/07/2024,2024-2,Artes y Humanidades,Comunicación,Acceso a plataforma,Académica,11.1,3,Apartadó
CASO00234,01/05/2024,2024-1,Ingeniería,Ingeniería Mecánica,Problemas personales,Académica,20.1,4,Rionegro
CASO00235,25/03/2024,2024-1,Ciencias Económicas,Contaduría,Soporte técnico,Mesa de ayuda,33.8,3,Rionegro
CASO00236,05/02/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Psicosocial,35.4,2,Rionegro
CASO00237,14/05/2024,2024-1,Ingeniería,Ingeniería Mecánica,Acceso a plataforma,Mesa de ayuda,28.4,3,Itagüí
CASO00238,09/08/2024,2024-2,Ciencias Económicas,Administración,Orientación de matrícula,Psicosocial,8.5,2,Apartadó
CASO00239,09/10/2024,2024-2,Ciencias Económicas,Economía,Orientación de matrícula,Psicosocial,16.2,2,Apartadó
CASO00240,26/10/2024,2024-2,Ciencias Económicas,Contaduría,Acceso a plataforma,Mesa de ayuda,38.5,4,Apartadó
CASO00241,18/10/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Soporte técnico,Académica,18.5,2,Rionegro
CASO00242,20/05/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Dificultad académica,Tutoría,9.0,5,Itagüí
CASO00243,27/04/2024,2024-1,Ingeniería,Ingeniería Electrónica,Problemas personales,Mesa de ayuda,17.3,2,Itagüí
CASO00244,01/02/2024,2024-1,Ciencias Económicas,Economía,Problemas personales,Tutoría,22.8,3,Medellín
CASO00245,03/12/2024,2024-2,Ciencias Económicas,Administración,Orientación de matrícula,Tutoría,7.3,4,Itagüí
CASO00246,18/11/2024,2024-2,Ciencias Económicas,Contaduría,Acceso a plataforma,Psicosocial,30.1,2,Itagüí
CASO00247,06/02/2024,2024-1,Ciencias Económicas,Economía,Problemas personales,Mesa de ayuda,18.8,4,Medellín
CASO00248,20/06/2024,2024-1,Ingeniería,Ingeniería Mecánica,Acceso a plataforma,Académica,32.6,3,Itagüí
CASO00249,04/09/2024,2024-2,Ciencias Económicas,Economía,Acceso a plataforma,Mesa de ayuda,19.8,5,Itagüí
CASO00250,25/07/2024,2024-2,Artes y Humanidades,Comunicación,Dificultad académica,Psicosocial,14.6,5,Apartadó
CASO00251,22/04/2024,2024-1,Ciencias Económicas,Economía,Dificultad académica,Tutoría,23.6,2,Rionegro
CASO00252,29/01/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Dificultad académica,Académica,18.3,2,Apartadó
CASO00253,26/09/2024,2024-2,Ciencias Económicas,Administración,Dificultad académica,Mesa de ayuda,26.9,5,Apartadó
CASO00254,21/07/2024,2024-2,Ingeniería,Ingeniería Mecánica,Dificultad académica,Mesa de ayuda,0.5,2,Medellín
CASO00255,26/11/2024,2024-2,Artes y Humanidades,Artes Escénicas,Dificultad académica,Tutoría,25.3,2,Rionegro
CASO00256,16/06/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Dificultad académica,Tutoría,20.8,3,Rionegro
CASO00257,07/10/2024,2024-2,Artes y Humanidades,Artes Escénicas,Acceso a plataforma,Psicosocial,8.7,5,Itagüí
CASO00258,08/09/2024,2024-2,Ingeniería,Ingeniería Electrónica,Soporte técnico,Académica,26.6,2,Itagüí
CASO00259,28/06/2024,2024-1,Artes y Humanidades,Comunicación,Soporte técnico,Tutoría,16.8,2,Apartadó
CASO00260,23/09/2024,2024-2,Ciencias Económicas,Economía,Soporte técnico,Tutoría,4.9,4,Medellín
CASO00261,07/11/2024,2024-2,Ciencias Económicas,Contaduría,Acceso a plataforma,Tutoría,22.7,4,Rionegro
CASO00262,23/06/2024,2024-1,Ciencias Económicas,Administración,Dificultad académica,Académica,16.6,3,Medellín
CASO00263,03/11/2024,2024-2,Ciencias Económicas,Economía,Acceso a plataforma,Tutoría,31.1,5,Medellín
CASO00264,06/03/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Problemas personales,Tutoría,24.6,3,Medellín
CASO00265,16/04/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Acceso a plataforma,Psicosocial,30.5,2,Apartadó
CASO00266,12/10/2024,2024-2,Ciencias Económicas,Contaduría,Dificultad académica,Tutoría,21.7,3,Itagüí
CASO00267,20/02/2024,2024-1,Ciencias Económicas,Contaduría,Soporte técnico,Académica,15.4,5,Medellín
CASO00268,29/04/2024,2024-1,Ingeniería,Ingeniería Mecánica,Soporte técnico,Académica,21.1,3,Medellín
CASO00269,06/09/2024,2024-2,Ciencias Económicas,Contaduría,Problemas personales,Mesa de ayuda,15.3,4,Medellín
CASO00270,03/02/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Orientación de matrícula,Psicosocial,31.9,3,Apartadó
CASO00271,29/09/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Orientación de matrícula,Mesa de ayuda,15.6,3,Itagüí
CASO00272,24/06/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Psicosocial,27.0,2,Rionegro
CASO00273,19/11/2024,2024-2,Ciencias Económicas,Contaduría,Orientación de matrícula,Académica,16.4,4,Itagüí
CASO00274,25/04/2024,2024-1,Artes y Humanidades,Artes Escénicas,Acceso a plataforma,Tutoría,16.6,4,Itagüí
CASO00275,28/01/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Soporte técnico,Tutoría,6.1,2,Apartadó
CASO00276,25/11/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Soporte técnico,Tutoría,27.4,3,Itagüí
CASO00277,14/03/2024,2024-1,Ciencias Económicas,Administración,Dificultad académica,Psicosocial,35.5,4,Itagüí
CASO00278,03/08/2024,2024-2,Ciencias Económicas,Contaduría,Problemas personales,Tutoría,21.1,3,Apartadó
CASO00279,18/02/2024,2024-1,Ingeniería,Ingeniería Electrónica,Soporte técnico,Académica,27.8,3,Medellín
CASO00280,03/08/2024,2024-2,Ingeniería,Ingeniería Mecánica,Dificultad académica,Académica,37.5,2,Apartadó
CASO00281,13/04/2024,2024-1,Ingeniería,Ingeniería Mecánica,Problemas personales,Mesa de ayuda,25.1,4,Apartadó
CASO00282,15/04/2024,2024-1,Ingeniería,Ingeniería Electrónica,Acceso a plataforma,Académica,35.5,5,Rionegro
CASO00283,01/02/2024,2024-1,Ciencias Económicas,Contaduría,Problemas personales,Tutoría,22.2,4,Medellín
CASO00284,28/04/2024,2024-1,Artes y Humanidades,Artes Escénicas,Acceso a plataforma,Tutoría,17.5,3,Itagüí
CASO00285,02/04/2024,2024-1,Artes y Humanidades,Comunicación,Problemas personales,Mesa de ayuda,8.9,5,Apartadó
CASO00286,14/04/2024,2024-1,Ciencias Económicas,Administración,Dificultad académica,Mesa de ayuda,33.9,2,Apartadó
CASO00287,31/01/2024,2024-1,Ingeniería,Ingeniería Electrónica,Orientación de matrícula,Académica,10.9,2,Medellín
CASO00288,17/05/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Acceso a plataforma,Mesa de ayuda,23.2,3,Medellín
CASO00289,01/09/2024,2024-2,Artes y Humanidades,Artes Escénicas,Orientación de matrícula,Psicosocial,8.1,3,Medellín
CASO00290,15/12/2024,2024-2,Ingeniería,Ingeniería Electrónica,Problemas personales,Psicosocial,27.8,2,Medellín
CASO00291,23/01/2024,2024-1,Ciencias Económicas,Contaduría,Soporte técnico,Psicosocial,19.1,3,Rionegro
CASO00292,04/11/2024,2024-2,Ingeniería,Ingeniería Mecánica,Orientación de matrícula,Académica,11.7,4,Itagüí
CASO00293,21/03/2024,2024-1,Artes y Humanidades,Comunicación,Problemas personales,Tutoría,33.7,2,Apartadó
CASO00294,12/03/2024,2024-1,Artes y Humanidades,Artes Escénicas,Dificultad académica,Académica,28.5,3,Rionegro
CASO00295,30/03/2024,2024-1,Ciencias Económicas,Administración,Dificultad académica,Tutoría,9.9,3,Medellín
CASO00296,02/08/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Orientación de matrícula,Mesa de ayuda,25.5,5,Itagüí
CASO00297,10/02/2024,2024-1,Ciencias Económicas,Administración,Problemas personales,Psicosocial,48.3,5,Apartadó
CASO00298,09/10/2024,2024-2,Artes y Humanidades,Artes Escénicas,Soporte técnico,Psicosocial,18.3,5,Apartadó
CASO00299,05/02/2024,2024-1,Ingeniería,Ingeniería Mecánica,Orientación de matrícula,Mesa de ayuda,26.4,5,Apartadó
CASO00300,31/03/2024,2024-1,Ciencias Económicas,Administración,Dificultad académica,Tutoría,53.3,5,Itagüí
CASO00301,16/10/2024,2024-2,Ciencias Económicas,Contaduría,Problemas personales,Académica,32.2,4,Apartadó
CASO00302,14/10/2024,2024-2,Artes y Humanidades,Artes Escénicas,Soporte técnico,Académica,22.5,4,Apartadó
CASO00303,17/02/2024,2024-1,Artes y Humanidades,Comunicación,Soporte técnico,Psicosocial,17.7,4,Rionegro
CASO00304,03/12/2024,2024-2,Ciencias Económicas,Economía,Soporte técnico,Psicosocial,38.1,5,Rionegro
CASO00305,26/09/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Académica,10.3,5,Rionegro
CASO00306,25/06/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Problemas personales,Mesa de ayuda,36.3,2,Rionegro
CASO00307,13/04/2024,2024-1,Artes y Humanidades,Artes Escénicas,Problemas personales,Académica,34.0,3,Rionegro
CASO00308,14/10/2024,2024-2,Ciencias Económicas,Contaduría,Orientación de matrícula,Psicosocial,39.0,4,Itagüí
CASO00309,30/09/2024,2024-2,Ingeniería,Ingeniería Electrónica,Orientación de matrícula,Psicosocial,27.2,4,Rionegro
CASO00310,05/02/2024,2024-1,Ciencias Económicas,Contaduría,Orientación de matrícula,Tutoría,30.6,5,Itagüí
CASO00311,05/11/2024,2024-2,Artes y Humanidades,Comunicación,Dificultad académica,Mesa de ayuda,26.5,4,Medellín
CASO00312,08/02/2024,2024-1,Ingeniería,Ingeniería Electrónica,Dificultad académica,Académica,5.8,3,Rionegro
CASO00313,22/10/2024,2024-2,Ciencias Económicas,Economía,Orientación de matrícula,Académica,12.1,3,Itagüí
CASO00314,21/01/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Acceso a plataforma,Tutoría,31.0,2,Itagüí
CASO00315,06/06/2024,2024-1,Artes y Humanidades,Artes Escénicas,Orientación de matrícula,Académica,33.8,4,Medellín
CASO00316,10/12/2024,2024-2,Ingeniería,Ingeniería Electrónica,Problemas personales,Psicosocial,40.8,3,Itagüí
CASO00317,19/07/2024,2024-2,Ingeniería,Ingeniería Electrónica,Soporte técnico,Mesa de ayuda,9.4,3,Medellín
CASO00318,06/04/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Dificultad académica,Tutoría,1.5,2,Apartadó
CASO00319,30/06/2024,2024-1,Ingeniería,Ingeniería Electrónica,Acceso a plataforma,Mesa de ayuda,16.4,2,Rionegro
CASO00320,15/02/2024,2024-1,Ciencias Económicas,Economía,Acceso a plataforma,Mesa de ayuda,35.8,4,Rionegro
CASO00321,20/06/2024,2024-1,Ingeniería,Ingeniería Electrónica,Problemas personales,Tutoría,28.7,5,Itagüí
CASO00322,16/05/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Acceso a plataforma,Psicosocial,21.5,4,Itagüí
CASO00323,05/10/2024,2024-2,Ciencias Económicas,Administración,Dificultad académica,Tutoría,11.0,3,Apartadó
CASO00324,05/06/2024,2024-1,Artes y Humanidades,Artes Escénicas,Dificultad académica,Tutoría,15.8,3,Medellín
CASO00325,25/09/2024,2024-2,Artes y Humanidades,Artes Escénicas,Dificultad académica,Académica,28.6,3,Itagüí
CASO00326,26/10/2024,2024-2,Ciencias Económicas,Administración,Orientación de matrícula,Tutoría,21.0,4,Medellín
CASO00327,20/04/2024,2024-1,Ciencias Económicas,Administración,Problemas personales,Académica,26.0,4,Itagüí
CASO00328,29/08/2024,2024-2,Ingeniería,Ingeniería Electrónica,Orientación de matrícula,Tutoría,26.9,4,Itagüí
CASO00329,05/04/2024,2024-1,Ingeniería,Ingeniería Mecánica,Soporte técnico,Tutoría,14.3,3,Rionegro
CASO00330,08/02/2024,2024-1,Ciencias Económicas,Economía,Acceso a plataforma,Tutoría,9.1,3,Apartadó
CASO00331,29/11/2024,2024-2,Ciencias Económicas,Economía,Soporte técnico,Académica,39.5,2,Itagüí
CASO00332,26/07/2024,2024-2,Artes y Humanidades,Artes Escénicas,Problemas personales,Psicosocial,37.0,4,Itagüí
CASO00333,11/12/2024,2024-2,Ciencias Económicas,Economía,Acceso a plataforma,Mesa de ayuda,22.4,3,Medellín
CASO00334,25/06/2024,2024-1,Artes y Humanidades,Artes Escénicas,Soporte técnico,Mesa de ayuda,10.1,4,Rionegro
CASO00335,28/08/2024,2024-2,Ciencias Económicas,Contaduría,Soporte técnico,Académica,43.2,4,Medellín
CASO00336,10/04/2024,2024-1,Ciencias Económicas,Economía,Soporte técnico,Académica,28.0,3,Itagüí
CASO00337,17/10/2024,2024-2,Ciencias Económicas,Contaduría,Dificultad académica,Tutoría,3.1,3,Apartadó
CASO00338,24/02/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Problemas personales,Tutoría,28.3,2,Medellín
CASO00339,16/06/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Soporte técnico,Tutoría,28.9,2,Rionegro
CASO00340,04/03/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Orientación de matrícula,Mesa de ayuda,23.3,3,Itagüí
CASO00341,01/08/2024,2024-2,Artes y Humanidades,Comunicación,Problemas personales,Académica,35.9,4,Itagüí
CASO00342,21/02/2024,2024-1,Ciencias Económicas,Economía,Orientación de matrícula,Psicosocial,2.2,2,Apartadó
CASO00343,24/11/2024,2024-2,Ciencias Económicas,Administración,Acceso a plataforma,Psicosocial,13.5,2,Apartadó
CASO00344,21/11/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Soporte técnico,Psicosocial,21.8,2,Itagüí
CASO00345,24/07/2024,2024-2,Ciencias Económicas,Administración,Acceso a plataforma,Mesa de ayuda,29.5,2,Medellín
CASO00346,23/09/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Soporte técnico,Mesa de ayuda,37.0,5,Medellín
CASO00347,21/10/2024,2024-2,Ciencias Económicas,Administración,Soporte técnico,Tutoría,6.4,3,Rionegro
CASO00348,25/02/2024,2024-1,Ingeniería,Ingeniería Electrónica,Acceso a plataforma,Tutoría,18.4,5,Medellín
CASO00349,02/05/2024,2024-1,Ciencias Económicas,Administración,Dificultad académica,Académica,16.3,2,Medellín
CASO00350,13/03/2024,2024-1,Ciencias Económicas,Economía,Acceso a plataforma,Académica,20.3,4,Apartadó
CASO00351,04/10/2024,2024-2,Ciencias Económicas,Economía,Acceso a plataforma,Tutoría,35.1,3,Rionegro
CASO00352,09/08/2024,2024-2,Ingeniería,Ingeniería Mecánica,Soporte técnico,Mesa de ayuda,21.0,2,Rionegro
CASO00353,21/03/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Orientación de matrícula,Mesa de ayuda,18.8,2,Itagüí
CASO00354,05/08/2024,2024-2,Ciencias Económicas,Contaduría,Dificultad académica,Académica,38.9,4,Medellín
CASO00355,14/12/2024,2024-2,Artes y Humanidades,Comunicación,Acceso a plataforma,Psicosocial,31.0,5,Rionegro
CASO00356,28/03/2024,2024-1,Ciencias Económicas,Contaduría,Dificultad académica,Psicosocial,29.4,3,Apartadó
CASO00357,17/08/2024,2024-2,Ingeniería,Ingeniería Electrónica,Dificultad académica,Tutoría,32.3,4,Medellín
CASO00358,01/06/2024,2024-1,Ciencias Económicas,Economía,Dificultad académica,Mesa de ayuda,39.5,2,Apartadó
CASO00359,28/07/2024,2024-2,Ciencias Económicas,Economía,Dificultad académica,Académica,17.2,3,Medellín
CASO00360,26/02/2024,2024-1,Artes y Humanidades,Comunicación,Dificultad académica,Mesa de ayuda,0.5,3,Medellín
CASO00361,26/10/2024,2024-2,Ciencias Económicas,Administración,Soporte técnico,Mesa de ayuda,20.3,2,Itagüí
CASO00362,29/11/2024,2024-2,Artes y Humanidades,Artes Escénicas,Orientación de matrícula,Psicosocial,27.2,4,Rionegro
CASO00363,25/01/2024,2024-1,Ciencias Económicas,Administración,Acceso a plataforma,Psicosocial,36.7,3,Itagüí
CASO00364,22/02/2024,2024-1,Artes y Humanidades,Comunicación,Orientación de matrícula,Tutoría,19.5,3,Medellín
CASO00365,11/08/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Dificultad académica,Tutoría,21.6,5,Rionegro
CASO00366,23/07/2024,2024-2,Ciencias Económicas,Contaduría,Orientación de matrícula,Académica,45.4,3,Rionegro
CASO00367,19/08/2024,2024-2,Artes y Humanidades,Comunicación,Orientación de matrícula,Académica,10.8,2,Itagüí
CASO00368,08/11/2024,2024-2,Artes y Humanidades,Comunicación,Acceso a plataforma,Psicosocial,36.8,5,Rionegro
CASO00369,17/08/2024,2024-2,Ciencias Económicas,Contaduría,Dificultad académica,Tutoría,18.7,4,Apartadó
CASO00370,20/01/2024,2024-1,Ingeniería,Ingeniería Mecánica,Dificultad académica,Académica,33.7,2,Itagüí
CASO00371,03/03/2024,2024-1,Ciencias Económicas,Economía,Acceso a plataforma,Académica,9.0,4,Medellín
CASO00372,14/11/2024,2024-2,Ciencias Económicas,Administración,Acceso a plataforma,Académica,27.8,5,Medellín
CASO00373,24/11/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Orientación de matrícula,Mesa de ayuda,38.9,3,Itagüí
CASO00374,29/06/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Soporte técnico,Académica,14.8,4,Rionegro
CASO00375,14/06/2024,2024-1,Ciencias Económicas,Contaduría,Problemas personales,Mesa de ayuda,18.0,3,Apartadó
CASO00376,21/09/2024,2024-2,Ingeniería,Ingeniería Electrónica,Acceso a plataforma,Psicosocial,18.9,3,Itagüí
CASO00377,20/10/2024,2024-2,Artes y Humanidades,Comunicación,Problemas personales,Mesa de ayuda,35.0,2,Apartadó
CASO00378,10/10/2024,2024-2,Ciencias Económicas,Administración,Problemas personales,Psicosocial,21.3,4,Itagüí
CASO00379,26/02/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Acceso a plataforma,Tutoría,4.1,4,Itagüí
CASO00380,02/11/2024,2024-2,Artes y Humanidades,Artes Escénicas,Problemas personales,Tutoría,24.5,2,Medellín
CASO00381,30/11/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Problemas personales,Mesa de ayuda,2.5,3,Rionegro
CASO00382,31/03/2024,2024-1,Artes y Humanidades,Artes Escénicas,Problemas personales,Académica,13.7,3,Rionegro
CASO00383,10/06/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Orientación de matrícula,Académica,29.1,5,Rionegro
CASO00384,02/02/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Académica,20.5,4,Itagüí
CASO00385,17/07/2024,2024-2,Ingeniería,Ingeniería Electrónica,Dificultad académica,Psicosocial,24.8,3,Itagüí
CASO00386,03/03/2024,2024-1,Ciencias Económicas,Contaduría,Dificultad académica,Académica,28.1,5,Rionegro
CASO00387,24/09/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Problemas personales,Tutoría,11.8,4,Apartadó
CASO00388,08/03/2024,2024-1,Artes y Humanidades,Comunicación,Problemas personales,Tutoría,24.4,4,Medellín
CASO00389,13/10/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Acceso a plataforma,Mesa de ayuda,53.4,2,Medellín
CASO00390,06/10/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Académica,36.6,2,Itagüí
CASO00391,12/10/2024,2024-2,Ingeniería,Ingeniería Mecánica,Problemas personales,Mesa de ayuda,33.0,4,Rionegro
CASO00392,28/01/2024,2024-1,Ciencias Económicas,Contaduría,Orientación de matrícula,Mesa de ayuda,6.0,3,Rionegro
CASO00393,26/02/2024,2024-1,Ciencias Económicas,Contaduría,Acceso a plataforma,Psicosocial,21.4,3,Itagüí
CASO00394,11/11/2024,2024-2,Artes y Humanidades,Comunicación,Acceso a plataforma,Tutoría,27.9,5,Apartadó
CASO00395,04/10/2024,2024-2,Ciencias Económicas,Economía,Problemas personales,Tutoría,30.2,3,Rionegro
CASO00396,08/04/2024,2024-1,Ciencias Económicas,Economía,Orientación de matrícula,Tutoría,24.4,3,Itagüí
CASO00397,31/07/2024,2024-2,Ingeniería,Ingeniería Electrónica,Soporte técnico,Psicosocial,35.9,4,Medellín
CASO00398,26/04/2024,2024-1,Artes y Humanidades,Artes Escénicas,Soporte técnico,Mesa de ayuda,25.4,2,Itagüí
CASO00399,26/08/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Dificultad académica,Tutoría,7.8,5,Apartadó
CASO00400,23/07/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Acceso a plataforma,Académica,17.2,4,Itagüí
CASO00401,08/08/2024,2024-2,Ciencias Económicas,Economía,Acceso a plataforma,Académica,37.5,2,Medellín
CASO00402,17/08/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Orientación de matrícula,Tutoría,30.7,5,Rionegro
CASO00403,21/04/2024,2024-1,Artes y Humanidades,Comunicación,Problemas personales,Tutoría,25.0,5,Rionegro
CASO00404,12/12/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Problemas personales,Tutoría,33.1,2,Rionegro
CASO00405,24/10/2024,2024-2,Ingeniería,Ingeniería Mecánica,Soporte técnico,Tutoría,29.3,4,Apartadó
CASO00406,19/10/2024,2024-2,Ingeniería,Ingeniería Mecánica,Dificultad académica,Académica,26.3,2,Itagüí
CASO00407,06/09/2024,2024-2,Ingeniería,Ingeniería Mecánica,Acceso a plataforma,Tutoría,39.0,2,Itagüí
CASO00408,26/06/2024,2024-1,Ingeniería,Ingeniería Mecánica,Problemas personales,Psicosocial,41.8,3,Rionegro
CASO00409,26/07/2024,2024-2,Ingeniería,Ingeniería Mecánica,Soporte técnico,Mesa de ayuda,30.8,3,Medellín
CASO00410,16/03/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Problemas personales,Académica,19.0,3,Rionegro
CASO00411,20/01/2024,2024-1,Artes y Humanidades,Artes Escénicas,Orientación de matrícula,Psicosocial,37.7,3,Medellín
CASO00412,25/09/2024,2024-2,Ingeniería,Ingeniería Electrónica,Acceso a plataforma,Mesa de ayuda,27.9,4,Itagüí
CASO00413,26/07/2024,2024-2,Artes y Humanidades,Comunicación,Problemas personales,Mesa de ayuda,31.0,2,Apartadó
CASO00414,27/04/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Orientación de matrícula,Académica,16.5,4,Itagüí
CASO00415,05/12/2024,2024-2,Ciencias Económicas,Administración,Acceso a plataforma,Mesa de ayuda,15.5,5,Apartadó
CASO00416,22/06/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Problemas personales,Tutoría,29.5,2,Itagüí
CASO00417,14/06/2024,2024-1,Ingeniería,Ingeniería Mecánica,Soporte técnico,Tutoría,18.0,4,Rionegro
CASO00418,10/09/2024,2024-2,Ciencias Económicas,Economía,Acceso a plataforma,Tutoría,12.3,3,Medellín
CASO00419,20/06/2024,2024-1,Ciencias Económicas,Administración,Soporte técnico,Psicosocial,28.7,4,Medellín
CASO00420,16/04/2024,2024-1,Artes y Humanidades,Comunicación,Orientación de matrícula,Tutoría,34.2,5,Rionegro
CASO00421,22/08/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Acceso a plataforma,Psicosocial,10.4,4,Rionegro
CASO00422,29/05/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Acceso a plataforma,Tutoría,14.0,5,Itagüí
CASO00423,03/10/2024,2024-2,Ciencias Económicas,Economía,Acceso a plataforma,Psicosocial,21.4,2,Medellín
CASO00424,23/11/2024,2024-2,Ciencias Económicas,Economía,Problemas personales,Mesa de ayuda,43.0,3,Itagüí
CASO00425,09/04/2024,2024-1,Ciencias Económicas,Administración,Orientación de matrícula,Tutoría,27.5,4,Apartadó
CASO00426,22/03/2024,2024-1,Ciencias Económicas,Administración,Orientación de matrícula,Mesa de ayuda,30.3,4,Rionegro
CASO00427,10/06/2024,2024-1,Artes y Humanidades,Artes Escénicas,Dificultad académica,Tutoría,28.3,3,Apartadó
CASO00428,11/10/2024,2024-2,Artes y Humanidades,Artes Escénicas,Orientación de matrícula,Académica,21.7,2,Medellín
CASO00429,05/04/2024,2024-1,Ingeniería,Ingeniería Mecánica,Problemas personales,Académica,13.9,5,Apartadó
CASO00430,11/06/2024,2024-1,Ciencias Económicas,Contaduría,Dificultad académica,Mesa de ayuda,13.6,2,Itagüí
CASO00431,07/06/2024,2024-1,Ingeniería,Ingeniería Mecánica,Soporte técnico,Mesa de ayuda,36.1,4,Apartadó
CASO00432,21/07/2024,2024-2,Ciencias Económicas,Contaduría,Problemas personales,Psicosocial,29.3,3,Medellín
CASO00433,28/06/2024,2024-1,Artes y Humanidades,Artes Escénicas,Acceso a plataforma,Académica,19.2,3,Medellín
CASO00434,03/09/2024,2024-2,Ciencias Económicas,Economía,Orientación de matrícula,Académica,57.2,3,Medellín
CASO00435,18/07/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Problemas personales,Tutoría,34.3,2,Apartadó
CASO00436,25/05/2024,2024-1,Ciencias Económicas,Contaduría,Soporte técnico,Tutoría,16.5,4,Itagüí
CASO00437,09/09/2024,2024-2,Ciencias Económicas,Economía,Soporte técnico,Mesa de ayuda,11.6,3,Apartadó
CASO00438,05/11/2024,2024-2,Ciencias Económicas,Administración,Soporte técnico,Mesa de ayuda,34.6,2,Rionegro
CASO00439,30/09/2024,2024-2,Artes y Humanidades,Artes Escénicas,Acceso a plataforma,Mesa de ayuda,47.7,2,Medellín
CASO00440,03/10/2024,2024-2,Ciencias Económicas,Economía,Soporte técnico,Tutoría,22.5,5,Rionegro
CASO00441,19/09/2024,2024-2,Ciencias Económicas,Administración,Dificultad académica,Mesa de ayuda,24.2,4,Apartadó
CASO00442,07/05/2024,2024-1,Ciencias Económicas,Contaduría,Soporte técnico,Psicosocial,32.5,4,Itagüí
CASO00443,17/07/2024,2024-2,Ingeniería,Ingeniería Mecánica,Orientación de matrícula,Mesa de ayuda,14.1,5,Medellín
CASO00444,02/06/2024,2024-1,Ingeniería,Ingeniería Electrónica,Acceso a plataforma,Psicosocial,25.7,3,Rionegro
